Suite, Main-Scenario, Sub-Scenario, Test, Parameter, Status
Transponder Test Suite, User Signup, genericTestGenerator.UserSignup, userSignUp,  "Txp"- "Txp" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Traffic and section Level Default Property for forcing 100GE traffic type for sson network  ANSI including site types"- "Row_2"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Traffic and section Level Default Property for forcing 100GE traffic type for non sson network  ANSI including site types"- "Row_23"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Traffic and section Level Default Property for forcing 100GE traffic type for non sson network  ETSI"- "Row_44"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Traffic and section Level Default Property for forcing 100GE traffic type for sson network  ETSI including site types"- "Row_58"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Creating 2 Service Demand for Traffic and 1 service demand for roadm by forcing 100GE in non-sson ANI network with pyag = ture and verify liecense"- "Row_74"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Creating 3 Service Demand for Traffic and 4 service demand for roadm by forcing 100GE in non-sson ANI network with pyag = ture and verify liecense"- "Row_83"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Creating 2 service demand for roadm by forcing 100GE in sson ANI network with pyag = ture and verify liecense"- "Row_92"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Creating 3 service demand for roadm by forcing 100GE in sson ANI network with pyag = ture and verify liecense"- "Row_101"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Creating 4 service demand for roadm by forcing 100GE in sson ANI network with pyag = ture and verify liecense"- "Row_109"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Traffic Report for trail  and section Level Default Property for\nforcing 100GE traffic type for non sson network  ANSI"- "Row_117"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Traffic Report for trail  and section Level Default Property for\nforcing 100GE traffic type for non sson network  ETSI"- "Row_121"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Traffic Report for trail  and section Level Default Property for\nforcing 100GE traffic type for sson network  ANSI"- "Row_125"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Traffic Report for trail  and section Level Default Property for\nforcing 100GE traffic type for sson network  ETSI"- "Row_129"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Site Level Default Property for non sson network with 8X10G-FO & MR-MXP BreakOut Cable ANSI"- "Row_133"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Site Level Default Property for non sson network with 8X10G-FO & MR-MXP BreakOut Cable ETSI"- "Row_137"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Site Level Default Property for sson network with 8X10G-FO & MR-MXP BreakOut Cable ANSI"- "Row_141"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Site Level Default Property for sson network with 8X10G-FO & MR-MXP BreakOut Cable ETSI"- "Row_145"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Site Level set Property for non sson network with 8X10G-FO = false& MR-MXP BreakOut Cable = true ANSI"- "Row_149"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Site Level Default Property for non sson network with 8X10G-FO & MR-MXP BreakOut Cable ETSI"- "Row_156"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Site Level Default Property for sson network with 8X10G-FO & MR-MXP BreakOut Cable ANSI"- "Row_163"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Site Level Default Property for sson network with 8X10G-FO & MR-MXP BreakOut Cable ETSI"- "Row_171"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Site Level set Property for non sson network with 8X10G-FO = true& MR-MXP BreakOut Cable = false ANSI"- "Row_179"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Site Level Default Property for non sson network with 8X10G-FO & MR-MXP BreakOut Cable ETSI"- "Row_186"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Site Level Default Property for sson network with 8X10G-FO & MR-MXP BreakOut Cable ANSI"- "Row_193"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify Site Level Default Property for sson network with 8X10G-FO & MR-MXP BreakOut Cable ETSI"- "Row_201"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 2 wave Demand with Traffic Type 100GE with forcing T5 SDFEC (25%) and SDFEC (15%) card for Traffic and ROADM Site with M6-M15 chassis and Analyze the network check it should route to trunk 11(25SDFEC) and 12(15SDFEC)"- "Row_209"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 3 wave Demand 1 with SDFEC(15%) and another 2 with (SDFEC25%) check in TM or Aggreagation it should take trunk 11(25SDFEC) and 12(15SDFEC)"- "Row_225"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 4 wave Demand 3 with SDFEC(15%) and another 1 with (SDFEC25% check in TM or Aggreagation it should take trunk 11-12(15SDFEC) in one T5 card and 11(25SDFEC) in second T5 card"- "Row_235"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 2 wave Demand 1 with SDFEC(15%) and another 1 with Alien check in TM or Aggreagation it should take trunk 11(15SDFEC) and for alien it should not aggregate."- "Row_249"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 4 wave Demand 3 with SDFEC(15%) and another 1 with (SDFEC25% check in TM or Aggreagation it should take trunk 11-12(15SDFEC) in one T5 card and 11(25SDFEC) in second T5 card and move back to design mode verify previous value retained"- "Row_257"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 4 wave Demand 3 with SDFEC(15%) and another 1 with (SDFEC25% check in TM or Aggreagation it should take trunk 11-12(15SDFEC) in one T5 card and 11(25SDFEC) in second T5 card and move back to design mode set the card type value to auto and check card type reset to auto values"- "Row_271"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 2 media channels with Traffic Type 100GE with forcing T5 SDFEC (25%) and SDFEC (15%) card for ROADM Site with M6-M15 chassis and Analyze the network check it should route to trunk 11(25SDFEC) and 12(15SDFEC)"- "Row_294"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 3 media channels 1 with SDFEC(15%) and another 2 with (SDFEC25%) check in TM or Aggreagation it should take trunk 11(15SDFEC) and 12(25SDFEC)"- "Row_311"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 4 media channels 3 with SDFEC(15%) and another 1 with (SDFEC25% check in TM or Aggreagation it should take trunk 11-12(15SDFEC) in one T5 card and 11(25SDFEC) in second T5 card"- "Row_321"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 2 media channels 1 with SDFEC(15%) and another 1 with Alien check in TM or Aggreagation it should take trunk 11(15SDFEC) and for alien it should not aggregate."- "Row_332"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10 Service Demand with Traffic Type 100GE-10GE-OTU2- OTU2e-FC-16G-FC-10G-FC-8G-OC-192-OTU4-40GE with Auto card Type and analyze the network for Non SSON ANSI Network and  Check corresponding TXPs and pluggables"- "Row_340"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10 Service Demand with Traffic Type 100GE-10GE-OTU2- OTU2e-FC-16G-FC-10G-FC-8G-OC-192-OTU4-40GE with Auto card Type and analyze the network for Non SSON ETSI Network and  Check corresponding TXPs and pluggables"- "Row_393"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10 Service Demand with Network property Use client Payg disable with Diffrent traffic type forcing - add contention less side- force contetionless side  and analyze the network for Non SSON network."- "Row_457"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10 Service Demand with Different Wavelength Forcing  for different Traffic Type and analyze the network for Non SSON"- "Row_497"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
